c = 2.84527e-05,i = 135
c = 5.10863e-05,i = 89
c = 0.000107089,i = 67
c = 0.000108769,i = 270
c = 0.000139579,i = 6
c = 0.00014184,i = 119
c = 0.000205137,i = 140
c = 0.000210269,i = 11
c = 0.000239713,i = 188
c = 0.000259336,i = 20
c = 0.000262706,i = 121
c = 0.000266973,i = 63
c = 0.000277369,i = 91
c = 0.000314899,i = 104
c = 0.00032252,i = 10
c = 0.00043331,i = 41
c = 0.000439566,i = 23
c = 0.000441444,i = 71
c = 0.000456767,i = 101
c = 0.00046503,i = 65
c = 0.000482122,i = 271
c = 0.000483949,i = 193
c = 0.000498775,i = 72
c = 0.000557959,i = 76
c = 0.000572671,i = 50
c = 0.000587638,i = 24
c = 0.000588289,i = 124
c = 0.000618525,i = 200
c = 0.000642105,i = 28
c = 0.00065796,i = 39
c = 0.000676432,i = 33
c = 0.000681285,i = 191
c = 0.000688904,i = 95
c = 0.000697908,i = 269
c = 0.000702008,i = 47
c = 0.00070678,i = 80
c = 0.000757223,i = 139
c = 0.000763559,i = 79
c = 0.000772315,i = 43
c = 0.000774096,i = 90
c = 0.000792073,i = 199
c = 0.000813148,i = 12
c = 0.000824319,i = 82
c = 0.000836442,i = 195
c = 0.000898972,i = 187
c = 0.00090633,i = 21
c = 0.000946201,i = 258
c = 0.000961285,i = 261
c = 0.00101133,i = 74
c = 0.00104047,i = 26
c = 0.00104881,i = 103
c = 0.00105635,i = 17
c = 0.00108831,i = 46
c = 0.00113762,i = 30
c = 0.00114716,i = 106
c = 0.00115808,i = 112
c = 0.00117188,i = 69
c = 0.00120096,i = 34
c = 0.00124688,i = 137
c = 0.00129021,i = 84
c = 0.00130144,i = 114
c = 0.00132869,i = 53
c = 0.00134224,i = 40
c = 0.00135707,i = 111
c = 0.00135834,i = 126
c = 0.00137541,i = 141
c = 0.00141112,i = 108
c = 0.00141873,i = 264
c = 0.0014396,i = 73
c = 0.00152492,i = 75
c = 0.00154625,i = 131
c = 0.00156181,i = 93
c = 0.00156843,i = 44
c = 0.00159975,i = 268
c = 0.00160462,i = 260
c = 0.00165858,i = 51
c = 0.00167088,i = 238
c = 0.00167257,i = 49
c = 0.00167861,i = 29
c = 0.00171084,i = 52
c = 0.00175203,i = 83
c = 0.00175217,i = 100
c = 0.00177738,i = 122
c = 0.00181042,i = 38
c = 0.00184515,i = 68
c = 0.00186669,i = 129
c = 0.00187041,i = 132
c = 0.00187217,i = 273
c = 0.0018778,i = 136
c = 0.00189994,i = 96
c = 0.00190433,i = 13
c = 0.00195176,i = 66
c = 0.00197551,i = 31
c = 0.00213755,i = 77
c = 0.00222659,i = 70
c = 0.0022566,i = 78
c = 0.00228561,i = 133
c = 0.00229501,i = 138
c = 0.00237719,i = 15
c = 0.00246151,i = 107
c = 0.00246735,i = 190
c = 0.00247155,i = 86
c = 0.00248009,i = 236
c = 0.00249938,i = 99
c = 0.0025262,i = 85
c = 0.00257673,i = 87
c = 0.00259106,i = 127
c = 0.00259645,i = 263
c = 0.00261001,i = 27
c = 0.00261546,i = 117
c = 0.00267181,i = 94
c = 0.0026748,i = 64
c = 0.00269059,i = 25
c = 0.00275111,i = 123
c = 0.00275928,i = 243
c = 0.0029096,i = 115
c = 0.00291762,i = 267
c = 0.0029219,i = 189
c = 0.00292228,i = 45
c = 0.00299189,i = 105
c = 0.00299189,i = 167
c = 0.00299603,i = 8
c = 0.00314464,i = 239
c = 0.00318373,i = 262
c = 0.00319349,i = 109
c = 0.00320655,i = 98
c = 0.00321212,i = 7
c = 0.00324232,i = 272
c = 0.00331237,i = 266
c = 0.00333803,i = 116
c = 0.00334304,i = 36
c = 0.00335867,i = 55
c = 0.00339809,i = 255
c = 0.00348466,i = 48
c = 0.00349172,i = 183
c = 0.00363959,i = 134
c = 0.00373215,i = 253
c = 0.00383752,i = 9
c = 0.00384089,i = 192
c = 0.00391728,i = 32
c = 0.00395343,i = 172
c = 0.00396897,i = 110
c = 0.00397767,i = 257
c = 0.0039887,i = 113
c = 0.0040179,i = 42
c = 0.00407265,i = 22
c = 0.00410367,i = 125
c = 0.00416614,i = 128
c = 0.00420793,i = 97
c = 0.00431997,i = 19
c = 0.00439683,i = 14
c = 0.00443669,i = 194
c = 0.00448208,i = 37
c = 0.00455198,i = 130
c = 0.00456039,i = 35
c = 0.00458512,i = 18
c = 0.00468692,i = 88
c = 0.00473498,i = 120
c = 0.00476167,i = 244
c = 0.00479441,i = 254
c = 0.00487331,i = 102
c = 0.00502596,i = 81
c = 0.00508175,i = 259
c = 0.00533161,i = 92
c = 0.00558958,i = 256
c = 0.0057654,i = 196
c = 0.00608535,i = 186
c = 0.00622928,i = 142
c = 0.00626327,i = 143
c = 0.00637564,i = 245
c = 0.00644386,i = 16
c = 0.00645426,i = 118
c = 0.00649534,i = 252
c = 0.00709786,i = 265
c = 0.00754689,i = 197
c = 0.00759422,i = 54
c = 0.00809265,i = 57
c = 0.00834488,i = 58
c = 0.00853492,i = 62
c = 0.00882882,i = 213
c = 0.00898093,i = 242
c = 0.00931077,i = 178
c = 0.00979459,i = 170
c = 0.0098578,i = 227
c = 0.0101144,i = 251
c = 0.0102309,i = 184
c = 0.0102918,i = 149
c = 0.0103934,i = 202
c = 0.0104541,i = 61
c = 0.0104572,i = 166
c = 0.0107417,i = 240
c = 0.0107818,i = 215
c = 0.0109997,i = 229
c = 0.0113306,i = 246
c = 0.0113644,i = 241
c = 0.0113885,i = 212
c = 0.0114688,i = 226
c = 0.0115633,i = 214
c = 0.0117417,i = 182
c = 0.0117464,i = 171
c = 0.0119523,i = 179
c = 0.0119913,i = 59
c = 0.0120192,i = 185
c = 0.0122751,i = 235
c = 0.0124955,i = 169
c = 0.0125543,i = 173
c = 0.0126321,i = 233
c = 0.0127031,i = 250
c = 0.0130023,i = 208
c = 0.0130836,i = 247
c = 0.0131604,i = 177
c = 0.0135371,i = 198
c = 0.0136169,i = 205
c = 0.0137096,i = 56
