%time,field.data
1574702319570226871,-0.0509679595749 0.142528748889 3.03204951301
1574702319580299146,-0.0436705150262 0.149268324832 3.0366510384
1574702319590409459,-0.0398232225241 0.152203894242 3.03897101286
1574702319600516672,-0.0398232225241 0.152203894242 3.03897101286
1574702319610710440,-0.0324103471159 0.157662682873 3.04383134217
1574702319620784917,-0.0324103471159 0.157662682873 3.04383134217
1574702319630896352,-0.0260746736827 0.162669707477 3.04901469009
1574702319641002833,-0.0260746736827 0.162669707477 3.04901469009
1574702319651110848,-0.0212781734735 0.167599775325 3.05448358792
1574702319661217391,-0.0212781734735 0.167599775325 3.05448358792
1574702319671323433,-0.0172788659294 0.172125369919 3.06005732801
1574702319681433440,-0.0172788659294 0.172125369919 3.06005732801
1574702319691546304,-0.0135372179968 0.176007375098 3.06550613486
1574702319701674750,-0.0135372179968 0.176007375098 3.06550613486
1574702319711747086,-0.00919234286902 0.179816953422 3.07084094341
1574702319721834052,-0.00919234286902 0.179816953422 3.07084094341
1574702319731881030,-0.00383678481396 0.184046376899 3.07576471584
1574702319741946583,-0.00383678481396 0.184046376899 3.07576471584
1574702319752010378,0.00229130541594 0.187682491071 3.08013007719
1574702319762230947,0.00229130541594 0.187682491071 3.08013007719
1574702319772338852,0.00823316662356 0.189911577861 3.08408225927
1574702319782506910,0.00823316662356 0.189911577861 3.08408225927
1574702319792613910,0.0133662815425 0.190637982702 3.08760837694
1574702319802732750,0.0133662815425 0.190637982702 3.08760837694
1574702319812839930,0.0175870573504 0.190466233116 3.09080435452
1574702319822945554,0.0175870573504 0.190466233116 3.09080435452
1574702319833051747,0.0203762949446 0.189836511809 3.09383810178
1574702319843178581,0.0203762949446 0.189836511809 3.09383810178
1574702319853284058,0.0220075040447 0.189289828407 3.09599050277
1574702319863410070,0.0220075040447 0.189289828407 3.09599050277
1574702319873514989,0.0218695667352 0.188932992487 3.09753100611
1574702319883586062,0.0218695667352 0.188932992487 3.09753100611
1574702319893691054,0.0196961030122 0.187358127972 3.09827840087
1574702319903796826,0.0181457968654 0.185849700939 3.09839012729
1574702319913904096,0.0163925275053 0.183954874401 3.09823667585
1574702319924007419,0.0145447075051 0.181796698431 3.09796287237
1574702319934111313,0.0126943084385 0.179475802677 3.09767955018
1574702319944201110,0.0091312743619 0.174496041482 3.09678534567
1574702319954305797,0.0091312743619 0.174496041482 3.09678534567
1574702319964411916,0.00623235319669 0.169065430976 3.0957844654
1574702319974519312,0.00623235319669 0.169065430976 3.0957844654
1574702319984627877,0.00477685336696 0.163671680117 3.09451394553
1574702319994701621,0.00477685336696 0.163671680117 3.09451394553
1574702320004772695,0.00472000410985 0.159146219571 3.09324317293
1574702320014887744,0.00472000410985 0.159146219571 3.09324317293
1574702320024993014,0.00568313475759 0.15599571306 3.09177977951
1574702320035118219,0.00568313475759 0.15599571306 3.09177977951
1574702320045182106,0.00648256104267 0.15494432019 3.0909112695
1574702320055287670,0.00736237699702 0.154193589158 3.08991434275
1574702320065397357,0.00869770962728 0.153309992043 3.08771818804
1574702320065397357,0.00869770962728 0.153309992043 3.08771818804
1574702320075517812,0.00869770962728 0.153309992043 3.08771818804
1574702320085590596,0.0092967980101 0.153117208282 3.08525496384
1574702320095781776,0.0092967980101 0.153117208282 3.08525496384
1574702320105881259,0.00951004242324 0.154111061789 3.08270808733
1574702320115983875,0.00951004242324 0.154111061789 3.08270808733
1574702320126091619,0.00998045272778 0.156448330551 3.08019875047
1574702320136182674,0.00998045272778 0.156448330551 3.08019875047
1574702320146289097,0.0114157059583 0.159963059248 3.07766296859
1574702320156397643,0.0114157059583 0.159963059248 3.07766296859
1574702320166506664,0.0124263345998 0.161960154843 3.07651351223
1574702320176613464,0.0135808185183 0.164015233208 3.07546318434
1574702320186719268,0.0148951601681 0.166107452225 3.07442337249
1574702320196827668,0.0162444017142 0.168185939852 3.07350346568
1574702320206949509,0.0175039913569 0.170232427135 3.07272902735
1574702320217017899,0.0187149602966 0.172299017388 3.07196910572
1574702320227124518,0.0199345837735 0.174443022039 3.07127876389
1574702320237191905,0.0211415553039 0.176713451942 3.07075395631
1574702320247265808,0.0223192880158 0.179127122002 3.07025338849
1574702320257373346,0.0235281881727 0.181705355279 3.06983221681
1574702320267464483,0.0248439086347 0.184467229703 3.06945301104
1574702320277570198,0.026294423148 0.187381765717 3.06919275834
1574702320287678688,0.0278827431212 0.19034973012 3.06890432531
1574702320297787576,0.0315097436749 0.196167736437 3.06857790296
1574702320307921029,0.0315097436749 0.196167736437 3.06857790296
1574702320318028237,0.0334206416691 0.199024517544 3.06846411486
1574702320328102602,0.0352762856814 0.20189301008 3.06846410105
1574702320338208687,0.0387131562009 0.207713396702 3.0687933728
1574702320348314942,0.0387131562009 0.207713396702 3.0687933728
1574702320358426869,0.0417726257994 0.213437089522 3.06926244151
1574702320368553223,0.0417726257994 0.213437089522 3.06926244151
1574702320378686154,0.0443420486456 0.218510355039 3.07011487002
1574702320388792596,0.0443420486456 0.218510355039 3.07011487002
1574702320398933608,0.0465896757318 0.222894853537 3.07112778853
1574702320409061540,0.0465896757318 0.222894853537 3.07112778853
1574702320419183890,0.0476794859014 0.224955944542 3.0716269594
1574702320429292531,0.0501964686934 0.229121179139 3.07275199769
1574702320439395616,0.0501964686934 0.229121179139 3.07275199769
1574702320449460789,0.0532306865598 0.233697720975 3.07359096823
1574702320459568745,0.0532306865598 0.233697720975 3.07359096823
1574702320469687655,0.0561987249159 0.238836339409 3.07427838751
1574702320479810704,0.0561987249159 0.238836339409 3.07427838751
1574702320489919335,0.0585954331049 0.244186173095 3.07486529805
1574702320500021802,0.0585954331049 0.244186173095 3.07486529805
1574702320510129227,0.0603959402785 0.249231213122 3.07517654767
1574702320520218209,0.0603959402785 0.249231213122 3.07517654767
1574702320530304741,0.0617483834495 0.253660132721 3.07523777126
1574702320540373275,0.0617483834495 0.253660132721 3.07523777126
1574702320550480637,0.0620397611527 0.257064650296 3.07515059638
1574702320560566210,0.0620397611527 0.257064650296 3.07515059638
1574702320570681827,0.0614377546034 0.259252568775 3.07494863648
1574702320580749273,0.0614377546034 0.259252568775 3.07494863648
1574702320590857578,0.0604721793278 0.260855963325 3.0743508961
1574702320600929009,0.0604721793278 0.260855963325 3.0743508961
1574702320611003231,0.0593826675003 0.262293697666 3.07369814842
1574702320621115448,0.0593826675003 0.262293697666 3.07369814842
1574702320631236804,0.0589131152023 0.262993035485 3.07330862268
1574702320641343437,0.0580521647026 0.264363107449 3.0723826915
1574702320651453461,0.0580521647026 0.264363107449 3.0723826915
1574702320661525106,0.0572492662493 0.265880943229 3.07118776646
1574702320671634668,0.056777085852 0.266731168567 3.07067809862
1574702320681740905,0.0562244876021 0.267626731347 3.07003931034
1574702320691861065,0.0556669951906 0.268574782162 3.06935415363
1574702320701931997,0.0552028991452 0.26960124827 3.06872733099
1574702320711999662,0.0548831888889 0.270710617721 3.06801176303
1574702320722534450,0.0548831888889 0.270710617721 3.06801176303
1574702320732639949,0.0546600953313 0.27287897915 3.06674799395
1574702320742716993,0.0546600953313 0.27287897915 3.06674799395
1574702320752822228,0.0548890753196 0.274045810862 3.06557337881
1574702320762934203,0.0548890753196 0.274045810862 3.06557337881
1574702320773040771,0.0555593245151 0.273773346239 3.06460106743
1574702320783111338,0.0559430997426 0.273117327817 3.06410685665
1574702320793220239,0.0563832464862 0.272111328954 3.06365935998
1574702320803329752,0.0563832464862 0.272111328954 3.06365935998
1574702320813434182,0.0577151022752 0.269038121967 3.06299432017
1574702320823511408,0.0587293571232 0.267036557987 3.06267114222
1574702320833620433,0.060001199748 0.264773499262 3.06243623103
1574702320843743346,0.0615369026416 0.262293415168 3.06216499983
1574702320853849556,0.0633637087915 0.259636359468 3.0619777331
1574702320863919991,0.0654307412402 0.25681876081 3.06181897442
1574702320874031569,0.0676534308045 0.253844495725 3.06170874188
1574702320884120244,0.0699960584203 0.250714854365 3.0615238052
1574702320894268601,0.0723877945166 0.247431740146 3.06138771636
1574702320904336614,0.0772043185928 0.240379137593 3.06125740944
1574702320914443573,0.0772043185928 0.240379137593 3.06125740944
