%time,field.data
1574702319768075487,0.005398613696580188 0.18899256271653514 3.0821092022549625
1574702319848867584,0.02200750404474685 0.189289828407105 3.09599050277224
1574702319930067498,0.012694308438458821 0.17947580267684946 3.0976795501831913
1574702320010835919,0.004720004109849294 0.15914621957060243 3.093243172928279
1574702320091602616,0.009296798010096497 0.15311720828237052 3.085254963843303
1574702320172397505,0.01242633459983946 0.16196015484342616 3.0765135122335923
1574702320253272102,0.023528188172707652 0.181705355278969 3.069832216807005
1574702320324156003,0.03704388239899034 0.20479228222851698 3.0686469097887805
1574702320405017580,0.046589675731781424 0.2228948535371304 3.0711277885296364
1574702320485804489,0.05859543310488212 0.2441861730947666 3.0748652980478006
1574702320566678085,0.061437754603411464 0.2592525687751561 3.074948636484967
1574702320647524709,0.05764721446986593 0.26508974224516546 3.071781529649376
1574702320728277117,0.0546600953313058 0.27287897914959475 3.066747993947833
1574702320809141814,0.05771510227517273 0.26903812196676213 3.0629943201671637
1574702320890047053,0.07238779451659903 0.24743174014624683 3.0613877163558874
1574702320970874394,0.09148096493330052 0.2162524376479243 3.0613895608455333
1574702321051695313,0.10300568622041771 0.18368603476657494 3.0613304772440926
1574702321132564909,0.10605378599148255 0.1614259643779776 3.0610434484047238
1574702321214074193,0.10752870807713553 0.14108582053061264 3.059679425210891
1574702321285003475,0.11434376242656559 0.12679610775839417 3.0582538921458458
1574702321365882245,0.11902111501592792 0.1173844763024934 3.0588199239298923
1574702321446769020,0.11717486090244943 0.10814622637351291 3.060764484868735
1574702321527601735,0.12133243187089507 0.09954086387691849 3.0618582547246147
1574702321608493874,0.12547875101897174 0.09384715709660454 3.0631123609595488
1574702321689166237,0.13650409073616962 0.08492174091487079 3.0652037722541334
1574702321769981190,0.14027925594698087 0.07372098456444937 3.0676691581219044
1574702321850836744,0.1419682695993497 0.0658388762193946 3.070378172826451
1574702321931721830,0.14580053461734435 0.0625900602759598 3.0738188236053277
1574702322012418127,0.14826257104775217 0.06263222929621128 3.075994407203621
1574702322093300752,0.15003942057826952 0.06469389015369027 3.0768659062942056
1574702322164013043,0.145399165552073 0.06447561807476741 3.0760629880751282
1574702322245091339,0.13351954866389434 0.05959225031498342 3.072893661694265
1574702322325810991,0.12206468876444711 0.059116203055389054 3.067082003016056
1574702322407583776,0.12139975409521382 0.055212363464674064 3.061208483314275
1574702322488373192,0.12674768097515063 0.04707865081874075 3.0567411568501086
1574702322569180951,0.12872624382876546 0.04016534965250959 3.0547779945792453
1574702322650071300,0.12727624831168768 0.037225184240679804 3.054524461141636
1574702322730851742,0.12322269402730503 0.03844222876837251 3.0549493148046762
1574702322811719966,0.11658669776839385 0.037030709521501004 3.0546475575400427
1574702322892561768,0.1097958535277477 0.03257763788743169 3.055560708702807
1574702322973351865,0.106302573273912 0.026942952092925312 3.059595464227856
1574702323044157686,0.1029416263275534 0.019419091006587855 3.065884079993248
1574702323124899640,0.09571634852960753 0.01664076675467605 3.0717366633546765
1574702323205644138,0.09301627943052793 0.017187302852159376 3.0722105468960335
1574702323286559227,0.0998333084809998 0.01803938098999953 3.065569798979934
1574702323367407741,0.11087778081555286 0.01843053122477546 3.0516862983010022
1574702323448237675,0.10687480510156204 0.0284448257456471 3.0378977192591767
1574702323529085116,0.09702454255906114 0.036298879172534035 3.0232404777670325
1574702323610017657,0.08524953716008113 0.040487433088235596 3.0120064771336654
1574702323690783456,0.07049215487788535 0.03880322952717696 3.0005878796770866
1574702323771773922,0.05920437786572349 0.036267544522395785 2.992740340472219
1574702323852870932,0.054975808203570405 0.030748999989415528 2.9867353812910413
1574702323923664824,0.051098424572752495 0.03152709536067904 2.983624515818295
1574702324004561087,0.04943371911184206 0.0318591110832542 2.982837585146399
1574702324085324736,0.04353747044686664 0.029789617218980845 2.9839511877949763
1574702324166425988,0.04007926349865684 0.025297021481455215 2.9884248130308295
1574702324247174893,0.03624950135092472 0.018328858085887093 2.995570572143928
1574702324328060588,0.029978131087915427 0.009199610444455525 3.0043091113794733
1574702324408867429,0.013514646272764006 0.010845737357000607 3.0138786355165723
1574702324489776155,-1.636394771526029e-05 0.015354006863655 3.0222624546014947
1574702324570560352,-0.004865330337170893 0.017562599288018555 3.0310079316872023
1574702324651631361,0.003984680529264666 0.011522169648204374 3.0391972946284307
1574702324722340918,0.02036087740556374 0.0006653376694250327 3.049453659213838
1574702324803210361,0.0355056365901814 -0.01139916439729116 3.0615594926885312
1574702324883970062,0.04649910252090804 -0.017517272914647504 3.073347032793656
1574702324965046737,0.04613578895333532 -0.016155634350599926 3.0839355242992945
1574702325045881861,0.04185829940507653 -0.011658932148138797 3.0903804118511307
1574702325126728498,0.04072180424555215 -0.011779501844055634 3.0960509315349944
1574702325207579539,0.03908824092940961 -0.011698096691762647 3.0986600571796328
1574702325288477138,0.037419717124965904 -0.011022173874078034 3.097279397581292
1574702325369307429,0.04284883787237285 -0.007577266263358428 3.0925586660614766
1574702325450286261,0.04683433897959821 -0.0035594188132628316 3.0864814064410635
1574702325531070059,0.04221408095547004 -0.0018250715749056773 3.079735539111593
1574702325611874779,0.030829690842337366 -0.0025987663950078296 3.0738071947677232
1574702325692675358,0.02147457056244725 -0.005133384240332353 3.06880870372213
1574702325773502450,0.015515361947195242 -0.012758951001753633 3.062533613299358
1574702325844224187,0.01539959408564184 -0.015314226753929006 3.0588494150975527
1574702325925046250,0.014344311033947376 -0.010857724014887752 3.0561797121450773
1574702326005823729,0.015231248723091707 -0.001739252023787453 3.055749760476707
1574702326086589653,0.017259965999554882 0.003418114361869815 3.05561984020115
1574702326167357834,0.02467920958988945 0.008040586454779784 3.0547674268654776
1574702326248218261,0.03296235249423015 0.011869693243816436 3.0526903945310027
1574702326329076351,0.03585741567534591 0.014568017376301564 3.0509452104564527
1574702326409950543,0.037512659704338557 0.015957564026635604 3.0492508562104406
1574702326490708365,0.037369078888526995 0.018283488546239242 3.0472864233395045
1574702326571533602,0.03425633009179104 0.016606946781107187 3.0460662611986473
1574702326652386648,0.03415169444734677 0.014416208665194186 3.0464156269008686
1574702326733321920,0.034083266138117074 0.013313948529255281 3.047877683571859
1574702326804089540,0.031697367930107585 0.009785598259054826 3.049894191494648
1574702326894818041,0.031947981606850834 0.005931477221919829 3.0527172383060286
1574702326965496697,0.032691693983423975 0.0017303643978907757 3.0566979418459512
1574702327046314942,0.030005857867385754 -0.003350880624296008 3.0635833084020754
1574702327127153214,0.03179478114290868 -0.004240402938818483 3.0698739818056633
1574702327208064561,0.0342541773230705 -0.00471747413068468 3.075023835799956
1574702327288822807,0.03491282386968139 -0.009845519359499533 3.0788079594852755
1574702327369662348,0.03592499311097227 -0.014991415600101116 3.079371877778322
