%time,field.data
1574703257383985075,338
1574703257404168998,339
1574703257424416669,337
1574703257444673361,337
1574703257485174972,337
1574703257535708724,341
1574703257535708724,338
1574703257566051201,337
1574703257566051201,334
1574703257566051201,339
1574703257586284872,334
1574703257606487690,333
1574703257626603020,331
1574703257646816558,335
1574703257666995699,330
1574703257697275522,330
1574703257737712581,333
1574703257778133849,330
1574703257778133849,330
1574703257818600111,333
1574703257818600111,332
1574703257828718600,334
1574703257869101530,330
1574703257869101530,333
1574703257869101530,334
1574703257889324981,336
1574703257909539624,333
1574703257929757220,339
1574703257949977180,337
1574703257970180515,340
1574703257990399511,337
1574703258010585292,337
1574703258050896219,335
1574703258050896219,337
1574703258101448331,334
1574703258101448331,337
1574703258131759954,330
1574703258131759954,329
1574703258141864602,329
1574703258192521717,330
1574703258232926675,327
1574703258232926675,324
1574703258273354803,320
1574703258283462919,327
1574703258283462919,318
1574703258323885471,322
1574703258323885471,317
1574703258323885471,319
1574703258344082872,315
1574703258364183705,311
1574703258384454143,309
1574703258404680435,310
1574703258424844522,308
1574703258445049944,310
1574703258465226640,305
1574703258485437173,309
1574703258505661297,302
1574703258525944279,304
1574703258546128055,308
1574703258566357930,305
1574703258586581020,307
1574703258606761127,307
1574703258647179861,307
1574703258697727033,307
1574703258697727033,304
1574703258738162726,309
1574703258738162726,305
1574703258789829003,305
1574703258789829003,303
1574703258789829003,305
1574703258789829003,299
1574703258810025836,300
1574703258830226704,301
1574703258850416836,304
1574703258870587307,300
1574703258890777980,306
1574703258900879524,301
1574703258931156503,305
1574703258951343731,303
1574703258971609752,303
1574703259012031319,301
1574703259012031319,303
1574703259062628324,303
1574703259072737106,303
1574703259113124760,307
1574703259123250614,307
1574703259163695903,304
1574703259163695903,307
1574703259163695903,308
1574703259204130694,306
1574703259204130694,308
1574703259214239807,309
1574703259224339265,307
1574703259244541751,310
1574703259264710254,309
1574703259284882021,311
1574703259305045737,306
1574703259325211690,314
1574703259345421102,307
1574703259365626325,312
1574703259385834169,309
1574703259406076219,309
1574703259446525332,311
1574703259496933734,309
1574703259496933734,313
1574703259537281563,314
1574703259537281563,313
1574703259587847418,314
1574703259587847418,312
1574703259587847418,310
1574703259628320181,313
1574703259638444111,310
1574703259638444111,314
1574703259678748514,314
1574703259678748514,314
1574703259719178384,316
1574703259719178384,317
1574703259759440304,318
1574703259759440304,314
1574703259769526346,321
1574703259789755038,314
1574703259809970462,306
1574703259830188312,311
1574703259850369411,307
1574703259870561712,304
1574703259890745983,305
1574703259910927163,303
1574703259931163492,307
1574703259941290952,305
1574703259971773564,312
1574703259981880643,309
1574703260012165164,313
1574703260022258423,310
1574703260042535260,312
1574703260062703709,302
1574703260082867791,305
1574703260103029867,305
1574703260153510881,312
1574703260193915457,311
1574703260203979575,320
1574703260244390727,316
1574703260244390727,315
1574703260284737924,315
1574703260284737924,315
1574703260284737924,311
1574703260325043016,317
1574703260335127836,312
1574703260335127836,314
1574703260375536107,309
1574703260375536107,312
1574703260385642449,305
1574703260405800191,308
1574703260426008799,305
1574703260446224137,305
1574703260486580780,303
1574703260486580780,311
1574703260537014469,308
1574703260537014469,308
1574703260577456674,306
1574703260577456674,314
1574703260628000484,304
1574703260628000484,304
1574703260648234119,308
1574703260648234119,311
1574703260688582133,313
1574703260688582133,311
1574703260708749715,314
1574703260728849520,315
1574703260749054058,311
1574703260769268676,310
1574703260789458008,309
1574703260809618899,310
1574703260829847966,310
1574703260870422877,312
1574703260920795949,309
1574703260920795949,310
1574703260961309361,309
1574703260971424299,305
1574703260971424299,308
1574703261001752114,310
1574703261011816993,310
1574703261021916422,308
1574703261032069536,305
1574703261042157848,311
1574703261082509760,308
1574703261082509760,309
1574703261102656390,305
1574703261122806851,306
1574703261142976406,306
1574703261193509677,307
1574703261233895693,305
1574703261243961763,307
1574703261284490754,303
1574703261284490754,303
1574703261284490754,302
1574703261324966139,304
1574703261335059268,305
1574703261335059268,302
1574703261375609927,303
1574703261375609927,303
1574703261395772886,302
1574703261405886654,306
1574703261446311864,301
1574703261446311864,300
1574703261486634594,300
1574703261526911159,304
1574703261537163869,300
1574703261537163869,305
1574703261577602786,301
1574703261577602786,307
1574703261587696311,300
1574703261607873931,302
1574703261628043594,302
1574703261668426411,304
1574703261708837221,299
1574703261708837221,304
1574703261749244396,299
1574703261759312534,302
1574703261759312534,300
1574703261799708748,301
1574703261799708748,303
1574703261809803133,300
1574703261829997236,300
1574703261870439771,303
1574703261910896535,301
1574703261910896535,299
1574703261961432960,303
1574703261961432960,304
1574703262001869196,303
1574703262001869196,302
1574703262001869196,303
1574703262052291936,306
1574703262052291936,301
1574703262052291936,307
1574703262092663378,300
1574703262102726724,306
1574703262102726724,299
1574703262122925813,308
1574703262143071124,305
1574703262163253864,305
1574703262213684322,307
1574703262254087012,309
1574703262254087012,306
1574703262294446412,307
1574703262304539746,303
1574703262304539746,308
1574703262345046715,307
1574703262345046715,306
1574703262345046715,305
1574703262365231580,303
1574703262385376558,304
1574703262405582089,306
1574703262425826072,305
1574703262446030007,307
1574703262466198508,304
1574703262486362927,302
1574703262506537017,301
1574703262526680988,307
1574703262546850347,302
1574703262566993598,306
1574703262587160841,304
1574703262607336869,298
1574703262627539178,305
1574703262647720188,305
1574703262698209066,303
1574703262698209066,305
1574703262738559748,301
1574703262738559748,308
1574703262778928987,304
1574703262778928987,307
1574703262829512588,302
1574703262829512588,308
1574703262849686899,307
1574703262849686899,310
1574703262889991641,306
1574703262889991641,309
1574703262910166473,306
1574703262930335351,306
1574703262970653168,304
1574703262970653168,309
1574703263010993033,302
1574703263010993033,307
1574703263051333304,304
1574703263051333304,307
1574703263091671029,303
1574703263091671029,308
1574703263131980350,302
1574703263131980350,305
1574703263142068375,302
1574703263162236558,307
1574703263182376008,306
1574703263202511324,307
1574703263222653500,308
1574703263242762701,305
1574703263262900431,302
1574703263283037060,308
1574703263303181399,304
1574703263323350721,302
1574703263343561551,303
1574703263363771450,303
1574703263414240182,305
1574703263454602226,307
1574703263454602226,304
1574703263505137157,309
1574703263505137157,305
1574703263545604697,306
1574703263545604697,303
1574703263545604697,301
1574703263545604697,304
1574703263565811394,305
1574703263586030297,307
1574703263606255487,306
1574703263626470644,307
1574703263646657371,306
1574703263666860483,308
1574703263687125353,308
1574703263737545669,308
1574703263777891541,308
1574703263777891541,308
1574703263818238958,307
1574703263818238958,311
1574703263868659049,306
1574703263868659049,307
1574703263868659049,309
1574703263909059173,311
1574703263909059173,309
1574703263909059173,309
1574703263949495113,309
1574703263979788426,309
1574703264020237328,312
1574703264020237328,305
1574703264020237328,307
1574703264060670819,310
1574703264060670819,307
1574703264060670819,310
1574703264091070208,308
1574703264101186389,305
1574703264131457554,307
1574703264141564140,305
1574703264161743204,310
1574703264181913912,306
1574703264202139966,307
1574703264222310466,307
1574703264272776984,308
1574703264323298685,310
1574703264323298685,311
1574703264363728345,304
1574703264373778288,308
1574703264373778288,309
1574703264373778288,310
1574703264383890390,306
1574703264404039509,310
1574703264424258868,307
1574703264444400580,312
1574703264464622185,307
1574703264484805154,312
1574703264504961749,310
1574703264525125117,314
1574703264545306391,306
1574703264565520814,309
1574703264585734033,306
1574703264605971032,308
1574703264626185332,308
1574703264666606784,310
1574703264717132914,309
1574703264717132914,308
1574703264757617818,309
1574703264757617818,308
1574703264808156440,307
1574703264808156440,309
1574703264808156440,309
1574703264848604433,310
1574703264848604433,310
