%time,field.data
1574700867922287227,641
1574700868013018826,649
1574700868083716306,649
1574700868184684695,645
1574700868255318759,582
1574700868346126457,554
1574700868406640247,566
1574700868487385086,589
1574700868558059238,606
1574700868649004857,608
1574700868719558987,639
1574700868800417528,633
1574700868891493302,628
1574700868962151001,619
1574700869053035207,601
1574700869123771024,592
1574700869214715542,593
1574700869285374785,595
1574700869376271470,589
1574700869446980550,591
1574700869537955001,590
1574700869618795429,575
1574700869689415879,568
1574700869770260826,558
1574700869861198819,554
1574700869931788408,538
1574700870022520172,538
1574700870093144504,519
1574700870173952755,500
1574700870254770691,487
1574700870335445969,497
1574700870426334369,491
1574700870507160324,501
1574700870567644519,495
1574700870658388092,502
1574700870739227433,501
1574700870809961073,518
1574700870900922456,524
1574700870971554412,527
1574700871062489779,527
1574700871133111192,531
1574700871224006712,562
1574700871294535919,557
1574700871385341065,581
1574700871476842025,560
1574700871537333980,556
1574700871617995786,542
1574700871708714229,550
1574700871769161650,565
1574700871870133188,571
1574700871930656221,577
1574700872021531783,564
1574700872112304676,556
1574700872182995701,549
1574700872273838070,568
1574700872334307488,562
1574700872415039115,554
1574700872505900101,572
1574700872576431118,576
1574700872667308643,582
1574700872737944291,600
1574700872818703696,600
1574700872899496050,597
1574700872990553381,593
1574700873051018173,594
1574700873131662185,604
1574700873212401301,582
1574700873303270367,581
1574700873384095717,577
1574700873464855289,580
1574700873535449067,573
1574700873626405498,570
1574700873697105657,578
1574700873788008093,571
1574700873858695926,575
1574700873939526970,573
1574700874020296042,572
1574700874101017213,570
1574700874171528352,573
1574700874262531442,571
1574700874333185229,570
1574700874424248990,563
1574700874505016108,562
1574700874575595262,560
1574700874656314351,563
1574700874747311538,563
1574700874817995776,562
1574700874898807893,553
1574700874979461555,560
1574700875060360831,555
1574700875161303274,557
1574700875211797781,548
1574700875312840473,553
1574700875393615899,551
1574700875454086961,547
1574700875555020344,555
1574700875615556706,562
1574700875706493633,555
1574700875777211248,552
1574700875858038739,550
1574700875948916755,547
1574700876029695791,557
1574700876100258019,544
1574700876191388132,546
1574700876251917624,533
1574700876342645974,541
1574700876413267194,525
1574700876504125352,523
1574700876574669578,520
1574700876665597228,515
1574700876736174175,507
1574700876816762259,524
1574700876887363107,514
1574700876988480705,510
1574700877049006673,504
1574700877149925644,497
1574700877210344682,493
1574700877311357052,493
1574700877371877513,488
1574700877472972077,479
1574700877553826249,473
1574700877614301661,466
1574700877695119847,464
1574700877786094367,461
1574700877856666348,461
1574700877947634980,461
1574700878008235541,470
1574700878109277112,468
1574700878169807913,463
1574700878270698220,471
1574700878331318747,477
1574700878422262695,482
1574700878492876159,483
1574700878583822046,487
1574700878654498869,489
1574700878755465324,494
1574700878816001436,496
1574700878917056808,499
1574700878967457565,498
1574700879068441330,501
1574700879128971300,508
1574700879230021825,506
1574700879290562275,512
1574700879381596204,514
1574700879452249147,513
1574700879553292491,523
1574700879613782959,510
1574700879704582827,507
1574700879775108017,511
1574700879865978034,526
1574700879936615153,525
1574700880017345812,522
1574700880088101377,516
1574700880189067757,520
1574700880249566424,499
1574700880340465882,492
1574700880421207624,481
1574700880491769764,464
1574700880572616047,467
1574700880653499584,466
1574700880744474766,451
1574700880805126756,455
1574700880896088005,470
1574700880976832055,485
1574700881057769591,520
1574700881138464279,547
1574700881219347400,554
1574700881310367341,554
1574700881380962948,555
1574700881472081478,552
1574700881532559348,553
1574700881633673151,545
1574700881694162422,540
1574700881784915766,529
1574700881855500554,519
1574700881936283005,529
1574700882017074059,518
1574700882097861613,523
1574700882168565266,539
1574700882259414651,556
1574700882340214269,551
1574700882410873735,557
1574700882501772004,567
1574700882572385055,557
1574700882663110145,549
1574700882733838946,540
1574700882824490907,486
1574700882895211049,436
1574700882976105203,423
1574700883056879276,417
1574700883127594278,402
1574700883228535088,403
1574700883289128913,399
1574700883390256228,400
1574700883450783864,407
1574700883541606180,411
1574700883612262191,406
1574700883693016507,401
1574700883773738056,384
1574700883864711234,385
1574700883925265317,390
1574700884016030630,383
1574700884086704991,386
1574700884177591209,389
1574700884248212573,384
1574700884349207135,379
1574700884409742612,365
1574700884490418988,341
1574700884571309135,326
1574700884652035996,330
1574700884732780655,326
1574700884803487538,342
1574700884894324657,342
1574700884964951346,329
1574700885045797121,310
1574700885146703164,316
1574700885207220095,314
1574700885287913760,321
1574700885368729623,323
1574700885469807074,315
1574700885530309524,346
1574700885601105541,348
1574700885691893840,341
1574700885772725445,338
